NOME	GRANDE_AREA	AREA	SUB_AREA	ESPECIALIDADE
CLAUDIO GABRIEL LIMA JUNIOR	Ciências Exatas e da Terra	Química	Química Orgânica	Síntese Orgânica
GABRIELA FEHN FISS	Ciências Exatas e da Terra	Química	Química Orgânica	Síntese Orgânica
JAILTON DE SOUZA FERRARI	Ciências Exatas e da Terra	Química	Química Orgânica	Síntese Orgânica
JULIANA ALVES VALE	Ciências Exatas e da Terra	Química	Química Orgânica	Síntese Orgânica
PETRONIO FILGUEIRAS DE ATHAYDE FILHO	Ciências Exatas e da Terra	Química	Química Orgânica	Síntese Orgânica
SAVIO MOITA PINHEIRO	Ciências Exatas e da Terra	Química	Química Orgânica	Síntese Orgânica
DAYSE DAS NEVES MOREIRA	Ciências Exatas e da Terra	Química	Química Orgânica	nan
GIVANILDO ALVES DE AZEREDO	Engenharias	Engenharia Civil	Construção Civil	Materiais e Componentes de Construção
MARCAL ROSAS F LIMA FILHO	Engenharias	Engenharia Civil	Construção Civil	Materiais e Componentes de Construção
CELSO AUGUSTO GUIMARAES SANTOS	Engenharias	Engenharia Civil	Engenharia Hidráulica	Hidrologia
GERALD NORBERT SOUZA DA SILVA	Engenharias	Engenharia Civil	Engenharia Hidráulica	Hidrologia
VICTOR HUGO RABELO COELHO	Engenharias	Engenharia Civil	Engenharia Hidráulica	Hidrologia
ANDREA BRASILIANO SILVA	Engenharias	Engenharia Civil	Estruturas	Mecânica das Estruturas
RICARDO ALMEIDA DE MELO	Engenharias	Engenharia Civil	Geotécnica	Pavimentos
DANIEL ARAUJO DE MACEDO	Engenharias	Engenharia de Materiais e Metalúrgica	Materiais Não-Metálicos	Cerâmicos
FABIANA DE CARVALHO FIM	Engenharias	Engenharia de Materiais e Metalúrgica	Materiais Não-Metálicos	Cerâmicos
HEBER SIVINI FERREIRA	Engenharias	Engenharia de Materiais e Metalúrgica	Materiais Não-Metálicos	Cerâmicos
IEDA MARIA GARCIA DOS SANTOS	Engenharias	Engenharia de Materiais e Metalúrgica	Materiais Não-Metálicos	Cerâmicos
RAMON ALVES TORQUATO	Engenharias	Engenharia de Materiais e Metalúrgica	Materiais Não-Metálicos	Cerâmicos
AMELIA SEVERINO FERREIRA E SANTOS	Engenharias	Engenharia de Materiais e Metalúrgica	Materiais Não-Metálicos	Materiais Conjugados Não-Metálicos
ELITON SOUTO DE MEDEIROS	Engenharias	Engenharia de Materiais e Metalúrgica	Materiais Não-Metálicos	Polímeros Aplicações
ITAMARA FARIAS LEITE	Engenharias	Engenharia de Materiais e Metalúrgica	Materiais Não-Metálicos	Polímeros Aplicações
MARCIO JOSE BATISTA CARDOSO	Engenharias	Engenharia de Materiais e Metalúrgica	Materiais Não-Metálicos	Polímeros Aplicações
RENATE MARIA RAMOS WELLEN	Engenharias	Engenharia de Materiais e Metalúrgica	Materiais Não-Metálicos	Polímeros Aplicações
KELLY CRISTIANE GOMES DA SILVA	Engenharias	Engenharia de Materiais e Metalúrgica	Materiais Não-Metálicos	nan
LISZANDRA FERNANDA ARAUJO CAMPOS	Engenharias	Engenharia de Materiais e Metalúrgica	Materiais Não-Metálicos	nan
MARIA ROSEANE DE PONTES FERNANDES	Engenharias	Engenharia de Materiais e Metalúrgica	Materiais Não-Metálicos	nan
CLAUDIO ALVES DE SIQUEIRA FILHO	Engenharias	Engenharia de Materiais e Metalúrgica	Metalurgia de Transformação	Fundição
TIBERIO ANDRADE DOS PASSOS	Engenharias	Engenharia de Materiais e Metalúrgica	Metalurgia de Transformação	Metalurgia de Pó
GUDSON NICOLAU DE MELO	Engenharias	Engenharia de Materiais e Metalúrgica	Metalurgia de Transformação	Soldagem
IEVERTON CAIANDRE ANDRADE BRITO	Engenharias	Engenharia de Materiais e Metalúrgica	Metalurgia Física	Estrutura dos Metais e Ligas
DANNIEL FERREIRA DE OLIVEIRA	Engenharias	Engenharia de Materiais e Metalúrgica	Metalurgia Física	nan
LUIZ BUENO DA SILVA	Engenharias	Engenharia de Produção	Engenharia do Produto	Ergonomia
LIANE MARCIA FREITAS E SILVA	Engenharias	Engenharia de Produção	Gerência de Produção	Suprimentos
MARIA SILENE ALEXANDRE LEITE	Engenharias	Engenharia de Produção	Gerência de Produção	Suprimentos
CLAUDIA FABIANA GOHR	Engenharias	Engenharia de Produção	Gerência de Produção	nan
LUCIANO COSTA SANTOS	Engenharias	Engenharia de Produção	Gerência de Produção	nan
SANDRA NAOMI MORIOKA	Engenharias	Engenharia de Produção	Gerência de Produção	nan
ANAND SUBRAMANIAN	Engenharias	Engenharia de Produção	Pesquisa Operacional	nan
BRUNO PETRATO BRUCK	Engenharias	Engenharia de Produção	Pesquisa Operacional	nan
ANTONIO AUGUSTO LISBOA DE SOUZA	Engenharias	Engenharia Elétrica	Circuitos Elétricos Magnéticos e Eletrônicos	Circuitos Eletrônicos
FLAVIO DA SILVA VITORINO GOMES	Engenharias	Engenharia Elétrica	Eletrônica Industrial Sistemas e Controles Eletrônicos	Automação Eletrônica de Processos Elétricos e Industriais
